"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 20:59:18 GMT 2024","Wed Jun 26 20:59:18 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","com.sravni.FrameworkTest","com.sravni.FrameworkTest","testPass3","testPass3",""
"passed","Wed Jun 26 20:59:14 GMT 2024","Wed Jun 26 20:59:18 GMT 2024","3583","CrossBrowser Test Suite","ChromeTest","com.sravni.test.NavigationTest","com.sravni.test.NavigationTest","testOpenBaseURL","testOpenBaseURL",""
"passed","Wed Jun 26 20:59:18 GMT 2024","Wed Jun 26 20:59:18 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","com.sravni.FrameworkTest","com.sravni.FrameworkTest","testPass2","testPass2",""
"passed","Wed Jun 26 20:59:18 GMT 2024","Wed Jun 26 20:59:18 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","com.sravni.FrameworkTest","com.sravni.FrameworkTest","testPass","testPass",""
