"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 21:34:38 GMT 2024","Wed Jun 19 21:34:38 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","com.megafontest.FrameworkTest","com.megafontest.FrameworkTest","testPass2","testPass2",""
"passed","Wed Jun 19 21:34:38 GMT 2024","Wed Jun 19 21:34:38 GMT 2024","5","CrossBrowser Test Suite","ChromeTest","com.megafontest.FrameworkTest","com.megafontest.FrameworkTest","testPass","testPass",""
"unknown","Wed Jun 19 21:34:38 GMT 2024","Wed Jun 19 21:34:38 GMT 2024","1","CrossBrowser Test Suite","ChromeTest","com.megafontest.test.NavigationTest","com.megafontest.test.NavigationTest","testOpenBaseURL","testOpenBaseURL",""
